:q!:q!
:q!
:q!
TODD GAVIN,MONT,133,18,1,,,,,,,
DONAVAN VAVURIS,MVC,133.4,18,2,,,,,,,
JONATHAN IZQUIERDO,ASAL,133.8,18,3,,,,,,,
JOSEPH HERRERA,FREM,133.8,18,4,,,,,,,
JEFFREY NGUYEN,OG,134,18,5,,,,,,,
JESSE CASTILLO,HAR,134,18,6,,,,,,,
NICHOLAS LOPEZ,ASAL,134,18,7,,,,,,,
ROBBIE MOORE,LEIG,134,18,8,,,,,,,
TANNER KERRINS,GUNN,134,19,1,,,,,,,
TANNER ROBSON,BRAN,134,19,2,,,,,,,
CESAR MARTIN-DEL-CAMPO,ASAL,134.2,19,3,,,,,,,
SAMUEL IBANEZ,FREM,134.4,19,4,,,,,,,
CONNOR SULLIVAN,MV,135,19,5,,,,,,,
EMANUEL VALDEZ,SOD,135,19,6,,,,,,,
JACOB AMIRI,BRAN,135,19,7,,,,,,,
JORGE ESPINO,NMC,135,19,8,,,,,,,
JOSE VELASQUEZ,GUNN,135,20,1,,,,,,,
KYLE OSSELLO,WEST,135,20,2,,,,,,,
MICHAEL MARTINEZ,PNR,135,20,3,,,,,,,
ROBERT REYNO,FREM,135,20,4,,,,,,,
AUSTIN DONALD,LG,135.8,20,5,,,,,,,
ALEX LLORIN,LEIG,136,20,6,,,,,,,
GERARDO MUNOZ,SEA,136,20,7,,,,,,,
ZANDER ADAMS,GUNN,136,20,8,,,,,,,
MIRELLA ACEVEDO,LA,136.8,21,1,,,,,,,
ALEAH KITAHARA,MONT,138,21,2,,,,,,,
ERIC DEMONEY,LEIG,138,21,3,,,,,,,
JACOB JOHNSSON,CAR,138,21,4,,,,,,,
JEREMIAH TREMENTOZZI,MVC,138,21,5,,,,,RAFAEL LUGO-FUENTES,HILL,141
JUAN RUELAS,ASAL,138.6,21,6,,,,,,,
JOSHUA LEE,OG,138.8,21,7,,,,,,,
QUENTIN GAMBE,PNR,139,21,8,,,,,,,
RAFAEL LUGO-FUENTES,HILL,141,22,1,,,,,,,
KYLE HENN,SOQ,139.8,22,2,,,,,,,
ERICK VILLALOBOS,HAR,140,22,3,,,,,,,
IAN MACDONNELL,SLV,140,22,4,,,,,,,
SIMON CROMARTY,GUNN,140,22,5,,,,,,,
ANDREW FLAHERTY,BRAN,141,22,6,,,,,,,
NICOLAS CHEN,MVC,141,22,7,,,,,,,
MICHEAL MATT,MV,141,22,8,,,,,,,
ERICK DOMINGUEZ,RICH,141.2,23,1,,,,,,,
LUKE BERGE,MVC,141.4,23,2,,,,,,,
WILLIE CHRIST,SOQ,141.7,23,3,,,,,,,
ABE HU,MV,142,23,4,,,,,,,
DAMIEN DOGHERRA1,SC,142,23,5,,,,,,,
DYLAN GUIDOTTI,SOD,142,23,6,,,,,,,
GILLIAN KING,GUNN,142,23,7,,,,,,,
JOSEPH SINDELAR,BELL,143,23,8,,,,,,,
SEAN SAKIMA,MV,143,24,1,,,,,,,
LUIS MARQUEZ,ASAL,143.2,24,2,,,,,,,
JOE STARBODY,WEST,143.8,24,3,,,,,,,
ALEX CHUN,MONT,144,24,4,,,,,,,
JACOB BUCHANAN,BRAN,144,24,5,,,,,,,
ZOHAR RABONVITCH,WEST,144,24,6,,,,,,,
STUART BUIE,MVC,144.4,24,7,,,,,,,
CHRISTOPER MANDUJANO,SOD,145,24,8,,,,,,,
BYE,BYE,145,25,1,,,,,,,
EVAN CRANE,CAR,145,25,2,,,,,,,
ZOE MORGAN,LA,145,25,3,,,,,,,
CONNOR MCMILLION,MV,146,25,4,,,,,,,
GABRIEL MORAN,OG,146,25,5,,,,,,,
JACOB ZARATE,BRAN,147,25,6,,,,,,,
NATHAN CREW,LEIG,147,25,7,,,,,,,
CARLOS BONILLA,RICH,147.1,25,8,,,,,,,
BRANDON RAIGOZA,SOD,148,26,1,,,,,,,
CARLOS GUZMAN,HILL,149.3,26,2,,,,,,,
KEVIN BANGERT,PG,148,26,3,,,,,,,
RAFAEL RUIZ,MV,148,26,4,,,,,,,
CONOR EMERY,MVC,148.4,26,5,,,,,,,
ISAIAS GARCIA,MONT,148,26,6,,,,,,,
CENGIZ BOGA,HILL,150.1,26,7,,,,,,,
PATRICK FULLER,APTO,150.6,26,8,,,,,,,
ALBERT MARAVILLO,ASAL,151,27,1,,,,,,,
JOSHUA IBARRA,RICH,151,27,2,,,,,,,
KEVIN BROGDON,OG,152,27,3,,,,,,,
WILLIE KORINEK,APTO,151.4,27,4,,,,,,,
ANDREAS GUERRERO,BELL,152,27,5,,,,,,,
BRIAN AGUIRRE,ASAL,153,27,6,,,,,,,
EBERT DIAZ,RICH,151.2,27,7,,,,,,,
HUDSON GASVODA,LG,153,27,8,,,,,,,
RENATA LOPEZ,HILL,153.9,28,1,,,,,,,
GAVIN MURRAY,SC,155,28,2,,,,,,,
LOKI LAWLESS,PG,155,28,3,,,,,,,
SOTERO TORRALTA,SLV,155.5,28,4,,,,,,,
JAKOB LOPEZ,ASAL,155.8,28,5,,,,,,,
DANIEL RIVERA,BRAN,156,28,6,,,,,,,
MARTIN LANDIN,SOD,156,28,7,,,,,,,
CHRIS DODDS,LEIG,157,28,8,,,,,,,
JEFFERY LENG,MVC,157.3,29,1,,,,,,,
ANTONIO MAGANA,CAR,158.1,29,2,,,,,,,
CALEB MARTIN,APTO,158.2,29,3,,,,,,,
MARSHAL PATERSON,FREM,158.4,29,4,,,,,,,
MIKEY FLETCHER,CAR,158.5,29,5,,,,,,,
ALANO SCHWEIKERT,SOQ,160,29,6,,,,,,,
ALEXIS BISHOP,SOD,160,29,7,,,,,,,
JOESEPH CRISTALES,OG,160,29,8,,,,,,,
LEO PEDRAZA,SAL,160,30,1,,,,,,,
MATT MCLEAN,LG,160,30,2,,,,,,,
ANU TUIONO,OG,161,30,3,,,,,,,
LEONARDO FRAMBA,MV,161,30,4,,,,,,,
ANTHONY DAMORE,BELL,162,30,5,,,,,,,
BEN FLORES,BRAN,162,30,6,,,,,,,
NOLAN BERRY,WEST,162,30,7,,,,,,,
PHILLIP VANDERSLICE,SAL,162,30,8,,,,,,,
JACOB MORGAN,PNR,163,31,1,,,,,,,
JONATHAN PEREZ,SOD,163,31,2,,,,,,,
KENNY MOORE,LG,163,31,3,,,,,,,
NATHAN LEE,OG,165.4,31,4,,,,,,,
AGUSTIN SANDOVAL-RIOS,APTO,165,31,5,,,,,,,
ALDAIR MARTINEZ,SEA,165,31,6,,,,,,,
ROBERT HULL,WEST,165,31,7,,,,,,,
JACOB GARCIA,SOD,164,31,8,,,,,,,
ETHAN TORRES,BRAN,166,32,1,,,,,,,
NICK BURNAM,MONT,166,32,2,,,,,,,
SAM BRASESCO,MV,166,32,3,,,,,,,
TERESA SALCEDO,SAL,166,32,4,,,,,,,
DILLAN NOEL,LA,167,32,5,,,,,,,
MAXWELL CARLISE,BRAN,167,32,6,,,,,,,
SAMUEL GARCIA,SOD,167,32,7,,,,,,,
FREDDIE PITTMAN,LG,168,32,8,,,,,,,
LUIS RODRIGUEZ,SEA,169,33,1,,,,,,,
CONNOR BROOKS,SLV,170,33,2,,,,,,,
FOSTER SMITH,PG,170,33,3,,,,,,,
MICHAEL SHOESTERMAN,LG,171,33,4,,,,,,,
ADAM VEGA,OG,172.8,33,5,,,,,,,
KAO LOCEBAL,BELL,173,33,6,,,,,,,
STEVEN YANG,MVC,173.6,33,7,,,,,,,
BIJAN MEHDIZADEH,BRAN,174,33,8,,,,,,,
CHEYENNE ARNOLD,WEST,175,34,1,,,,,,,
ALEX LEGENHAUSEN,GUNN,176,34,2,,,,,,,
CY MATHEWS,PALM,176,34,3,,,,,,,
BRADLEY MEAD,SV,177,34,4,,,,,,,
EROS MIRANDA,FREM,177,34,5,,,,,,,
NATHAN POLANCO,PNR,177,34,6,,,,,,,
JACK MAUGHAN,CAR,177.1,34,7,,,,,,,
DANIEL BAUTISTA,MVC,178.3,34,8,,,,,,,
JOSEPH GUERRERO,WAT,180,35,1,,,,,,,
JERROD COOK,PALM,181,35,2,,,,,,,
EMMETT MCDONALEL,LG,181.8,35,3,,,,,,,
ERIC GRAVES,SV,182,35,4,,,,,,,
LUCAS OLGIATI,MVC,182.3,35,5,,,,,,,
JOSHUA NICCUM,BRAN,185,35,6,,,,,,,
IVAN RAMIREZ,ASAL,185.4,35,7,,,,,,,
RENE RAMIEZ,SOQ,185.5,35,8,,,,,,,
DJ MONROE,WEST,186.5,36,1,,,,,,,
JACOB GUERRA,PNR,188,36,2,,,,,,,
MATT MAESTAS,APTO,190.2,36,3,,,,,,,
BYE,BYE,191,36,4,,,,,,,
CALEB NABER,SOQ,191.7,36,5,,,,,,,
ANTHONY CAMPOS,PNR,195,36,6,,,,,,,
ZACHARY RUELAS,SAL,195,36,7,,,,,,,
LUIS ALCANTARA,WEST,196,36,8,,,,,,,
JOHN BAILEY,WEST,196.5,37,1,,,,,,,
MICHAEL BELLANI,BELL,197,37,2,,,,,,,
EBERT ORTEGA,OG,202.6,37,3,,,,,,,
EVER GOMEZ,RICH,204.4,37,4,,,,,,,
ALEXIS AVALOS,RICH,205,37,5,,,,,,,
BYE,BYE,205,37,6,,,,,,,
GIOVANNI LOMELI,WAT,210,37,7,,,,,,,
BYE,BYE,210.6,37,8,,,,,,,
CUSTODIO KOSTERLISTSKY,SOD,213,38,1,,,,,,,
CADEN LEMONS,LEIG,215,38,2,,,,,,,
GIOVANNI RUGGIERO,MVC,216.5,38,3,,,,,,,
MALICK DIALLO,SEA,218,38,4,,,,,,,
MARK LEON,OG,221.8,38,5,,,,,,,
JORGE AVILA,ASAL,225.4,38,6,,,,,,,
MICHAEL ALVA,FREM,227.2,38,7,,,,,,,
ELOY RUIZ,HAR,230,38,8,,,,,,,
ISAIAH LOPEZ,SOD,230,39,1,,,,,,,
EDWARDO BABOSA,PALM,251,39,2,,,,,,,
JORGE LIMON,RICH,235,39,3,,,,,,,
GONE TAUDROUSE,PG,242,39,4,,,,,,,
FELIPE ORELLANA,HILL,250,39,5,,,,,,,
EMANUEL VARGAS,GON,234,39,6,,,,,,,
ROBERT BATSON,PALM,253,39,7,,,,,,,
ALEX RODARTE,WEST,255,39,8,,,,,,,
BYE,BYE,290,40,1,,,,,,,
ANDY MALTZ,GUNN,278,40,2,,,,,,,
BYE,BYE,289,40,3,,,,,,,
JORDAN GOSPODNETICH,APTO,283.6,40,4,,,,,,,
BYE,BYE,288,40,5,,,,,,,
DARIUS WILSON,FREM,285,40,6,,,,,,,
BYE,BYE,291,40,7,,,,,,,
LEO MUNOZ,SEA,281,40,8,,,,,,,
